feature,mean,std
h bond acceptor count,5.139963167587477,3.9796494755160103
h bond donor count,2.6477900552486187,2.776618122000909
rotatable bond count,5.719613259668508,6.427437317640389
number of rings,2.4903314917127073,1.7325556111701907
physiological charge,-0.1841620626151013,1.1598089025542166
molecular weight,353.17819585635357,216.73992610837965
refractivity,91.93180478821363,54.049523181197436
monoisotopic weight,352.83884531596686,216.54608157202114
polar surface area (psa),99.26108655616943,84.18666653411384
